batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_runs_x,crr,rrr,results
Sunrisers Hyderabad,Delhi Capitals,Hyderabad,163,116,10,165,3.0,8.43,0
Royal Challengers Bangalore,Chennai Super Kings,Bangalore,97,94,9,129,7.38,6.19,1
Rajasthan Royals,Delhi Capitals,Jaipur,5,18,9,155,8.82,1.67,1
Mumbai Indians,Chennai Super Kings,Mumbai,69,71,9,157,10.78,5.83,1
Kings XI Punjab,Mumbai Indians,Mumbai,140,104,10,164,9.0,8.08,1
Royal Challengers Bangalore,Rajasthan Royals,Jaipur,173,115,10,175,2.4,9.03,0
Mumbai Indians,Kolkata Knight Riders,Kolkata,207,88,8,242,6.56,14.11,0
Kings XI Punjab,Kolkata Knight Riders,Kolkata,148,61,7,224,7.73,14.56,0
Mumbai Indians,Royal Challengers Bangalore,Bangalore,20,26,9,141,7.72,4.62,1
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,54,15,3,168,6.51,21.6,0
Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,80,48,6,151,5.92,10.0,0
Rajasthan Royals,Delhi Capitals,Delhi,144,113,10,153,7.71,7.65,1
Delhi Capitals,Royal Challengers Bangalore,Bangalore,49,20,5,158,6.54,14.7,0
Kolkata Knight Riders,Rajasthan Royals,Kolkata,-3,36,8,82,6.07,-0.5,1
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,190,102,8,199,3.0,11.18,0
Kolkata Knight Riders,Kings XI Punjab,Kolkata,72,31,5,175,6.94,13.94,1
Sunrisers Hyderabad,Chennai Super Kings,Durban,51,37,7,166,8.31,8.27,0
Royal Challengers Bangalore,Chennai Super Kings,Bangalore,119,77,9,179,8.37,9.27,0
Sunrisers Hyderabad,Delhi Capitals,Delhi,121,73,8,195,9.45,9.95,0
Kings XI Punjab,Royal Challengers Bangalore,Bengaluru,27,4,4,214,9.67,40.5,0
Rajasthan Royals,Sunrisers Hyderabad,Ahmedabad,149,119,10,149,0.0,7.51,1
Delhi Capitals,Kolkata Knight Riders,Delhi,59,37,8,194,9.76,9.57,1
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,116,101,10,143,8.53,6.89,0
Royal Challengers Bangalore,Delhi Capitals,Sharjah,129,102,9,146,5.67,7.59,1
Chennai Super Kings,Delhi Capitals,Delhi,24,20,8,155,7.86,7.2,1
Sunrisers Hyderabad,Chennai Super Kings,Chennai,196,112,10,210,10.5,10.5,0
Delhi Capitals,Chennai Super Kings,Chennai,24,26,8,170,9.32,5.54,0
Kolkata Knight Riders,Mumbai Indians,Mumbai,96,62,8,188,9.52,9.29,0
Kings XI Punjab,Chennai Super Kings,Dharamsala,44,45,7,121,6.16,5.87,1
Rajasthan Royals,Royal Challengers Bangalore,Jaipur,97,70,9,165,8.16,8.31,1
Mumbai Indians,Sunrisers Hyderabad,Hyderabad,16,15,7,158,8.11,6.4,1
Rajasthan Royals,Mumbai Indians,Jaipur,172,118,10,172,0.0,8.75,1
Chennai Super Kings,Kings XI Punjab,Mumbai,37,52,9,113,6.71,4.27,1
Delhi Capitals,Mumbai Indians,Mumbai,16,45,7,93,6.16,2.13,0
Kolkata Knight Riders,Rajasthan Royals,Kolkata,105,96,8,145,10.0,6.56,1
Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore,16,46,8,159,11.59,2.09,1
Kings XI Punjab,Chennai Super Kings,Dharamsala,44,46,7,121,6.24,5.74,1
Kolkata Knight Riders,Chennai Super Kings,Chennai,154,91,9,201,9.72,10.15,0
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,-9,49,5,90,8.37,-1.1,1
Mumbai Indians,Royal Challengers Bangalore,Bengaluru,4,1,3,174,8.57,24.0,0
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,154,62,8,233,8.17,14.9,0
Rajasthan Royals,Chennai Super Kings,Centurion,40,5,2,165,6.52,48.0,0
Sunrisers Hyderabad,Delhi Capitals,Delhi,97,59,9,191,9.25,9.86,1
Kolkata Knight Riders,Royal Challengers Bangalore,Bengaluru,151,99,10,186,10.0,9.15,1
Rajasthan Royals,Mumbai Indians,Mumbai,106,65,8,188,8.95,9.78,0
Mumbai Indians,Sunrisers Hyderabad,Centurion,74,59,7,146,7.08,7.53,0
Sunrisers Hyderabad,Chennai Super Kings,Chennai,37,37,8,145,7.81,6.0,0
Kings XI Punjab,Chennai Super Kings,Chennai,150,82,8,187,5.84,10.98,0
Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,87,53,8,137,4.48,9.85,0
Delhi Capitals,Sunrisers Hyderabad,Centurion,53,39,7,149,7.11,8.15,0
Delhi Capitals,Mumbai Indians,Mumbai,54,7,3,184,6.9,46.29,0
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,56,26,6,182,8.04,12.92,0
Delhi Capitals,Kolkata Knight Riders,Kolkata,120,74,8,207,11.35,9.73,0
Rajasthan Royals,Sunrisers Hyderabad,Mumbai,67,23,5,202,8.35,17.48,0
Delhi Capitals,Rajasthan Royals,Delhi,63,39,8,166,7.63,9.69,0
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,150,82,7,205,8.68,10.98,0
Royal Challengers Bangalore,Delhi Capitals,Bangalore,142,85,10,184,7.2,10.02,0
Delhi Capitals,Royal Challengers Bangalore,Bangalore,92,67,8,158,7.47,8.24,0
Mumbai Indians,Chennai Super Kings,Delhi,169,98,9,193,6.55,10.35,0
Rajasthan Royals,Chennai Super Kings,Jaipur,141,96,9,189,12.0,8.81,1
Kolkata Knight Riders,Chennai Super Kings,Chennai,53,34,9,191,9.63,9.35,1
Delhi Capitals,Royal Challengers Bangalore,Delhi,162,119,10,162,0.0,8.17,0
Mumbai Indians,Kings XI Punjab,Mumbai,206,104,10,231,9.38,11.88,0
Chennai Super Kings,Mumbai Indians,Mumbai,106,77,5,140,4.74,8.26,0
Mumbai Indians,Delhi Capitals,Delhi,57,37,7,165,7.81,9.24,0
Kolkata Knight Riders,Mumbai Indians,Port Elizabeth,141,83,8,188,7.62,10.19,0
Royal Challengers Bangalore,Mumbai Indians,Mumbai,85,47,5,185,8.22,10.85,0
Delhi Capitals,Rajasthan Royals,Mumbai,183,111,9,193,6.67,9.89,0
Royal Challengers Bangalore,Mumbai Indians,Bangalore,148,75,8,192,5.87,11.84,0
Sunrisers Hyderabad,Kolkata Knight Riders,Mumbai,27,16,5,162,7.79,10.12,0
Chennai Super Kings,Kolkata Knight Riders,Kolkata,167,119,10,171,24.0,8.42,1
Delhi Capitals,Mumbai Indians,Sharjah,33,34,8,126,6.49,5.82,0
Royal Challengers Bangalore,Chennai Super Kings,Durban,113,105,8,130,6.8,6.46,1
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,20,15,6,131,6.34,8.0,1
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,192,107,9,212,9.23,10.77,0
Sunrisers Hyderabad,Kings XI Punjab,Johannesburg,56,41,7,135,6.0,8.2,0
Delhi Capitals,Mumbai Indians,Delhi,127,92,9,177,10.71,8.28,0
Delhi Capitals,Sunrisers Hyderabad,Hyderabad,27,28,6,176,9.72,5.79,0
Rajasthan Royals,Royal Challengers Bangalore,Pune,96,39,6,181,6.3,14.77,0
Royal Challengers Bangalore,Delhi Capitals,Raipur,11,15,6,139,7.31,4.4,1
Kolkata Knight Riders,Chennai Super Kings,Kolkata,5,15,8,155,8.57,2.0,1
Kings XI Punjab,Royal Challengers Bangalore,Indore,143,114,10,149,6.0,7.53,1
Mumbai Indians,Chennai Super Kings,Chennai,54,26,7,159,6.7,12.46,1
Kolkata Knight Riders,Mumbai Indians,Mumbai,138,85,8,188,8.57,9.74,0
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,44,42,8,159,8.85,6.29,1
Kolkata Knight Riders,Rajasthan Royals,Cape Town,52,29,5,151,6.53,10.76,0
Sunrisers Hyderabad,Kings XI Punjab,Sharjah,96,32,3,194,6.68,18.0,0
Kings XI Punjab,Sunrisers Hyderabad,Kimberley,70,50,6,169,8.49,8.4,1
Chennai Super Kings,Delhi Capitals,Delhi,73,42,7,188,8.85,10.43,1
Mumbai Indians,Kolkata Knight Riders,Kolkata,156,100,10,188,9.6,9.36,1
Mumbai Indians,Royal Challengers Bangalore,Bangalore,99,67,9,157,6.57,8.87,0
Chennai Super Kings,Rajasthan Royals,Kimberley,54,35,8,141,6.14,9.26,1
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,92,78,4,132,5.71,7.08,0
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,91,48,6,170,6.58,11.38,0
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,191,106,8,199,3.43,10.81,0
Delhi Capitals,Chennai Super Kings,Chennai,64,41,7,151,6.61,9.37,0
Mumbai Indians,Kings XI Punjab,Mumbai,116,83,8,169,8.59,8.39,1
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,106,71,10,204,12.0,8.96,1
Chennai Super Kings,Royal Challengers Bangalore,Bangalore,63,22,4,172,6.67,17.18,0
Rajasthan Royals,Delhi Capitals,Centurion,101,74,7,144,5.61,8.19,1
Chennai Super Kings,Mumbai Indians,Chennai,109,67,6,160,5.77,9.76,0
Chennai Super Kings,Mumbai Indians,Mumbai,120,72,7,177,7.12,10.0,0
Chennai Super Kings,Kings XI Punjab,Mohali,71,33,6,199,8.83,12.91,0
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,102,88,7,139,6.94,6.95,0
Kings XI Punjab,Sunrisers Hyderabad,Dharamsala,83,7,1,199,6.16,71.14,0
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,42,40,6,111,5.18,6.3,1
Kings XI Punjab,Delhi Capitals,Bloemfontein,100,103,10,121,7.41,5.83,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Johannesburg,141,109,10,144,1.64,7.76,0
Sunrisers Hyderabad,Kings XI Punjab,Sharjah,178,106,9,194,6.86,10.08,0
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,141,80,6,212,10.65,10.58,0
Kolkata Knight Riders,Chennai Super Kings,Chennai,35,29,8,140,6.92,7.24,1
Mumbai Indians,Kolkata Knight Riders,Mumbai,33,36,9,144,7.93,5.5,1
Royal Challengers Bangalore,Chennai Super Kings,Bangalore,93,43,6,182,6.94,12.98,0
Mumbai Indians,Chennai Super Kings,Delhi,153,89,9,193,7.74,10.31,0
Mumbai Indians,Kings XI Punjab,Chandigarh,146,109,10,164,9.82,8.04,0
Delhi Capitals,Mumbai Indians,Mumbai,17,2,3,143,6.41,51.0,0
Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore,101,97,10,159,15.13,6.25,1
Rajasthan Royals,Delhi Capitals,Jaipur,55,41,6,157,7.75,8.05,1
Kings XI Punjab,Chennai Super Kings,Chennai,99,6,2,193,4.95,99.0,0
Royal Challengers Bangalore,Delhi Capitals,Raipur,42,41,7,139,7.37,6.15,1
Rajasthan Royals,Sunrisers Hyderabad,Delhi,63,47,5,133,5.75,8.04,1
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,102,46,7,181,6.41,13.3,0
Royal Challengers Bangalore,Mumbai Indians,Bangalore,46,16,4,210,9.46,17.25,0
Delhi Capitals,Sunrisers Hyderabad,Delhi,164,113,10,169,4.29,8.71,0
Chennai Super Kings,Rajasthan Royals,Chennai,121,95,9,148,6.48,7.64,1
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,144,108,10,155,5.5,8.0,1
Kolkata Knight Riders,Rajasthan Royals,Jaipur,152,97,7,165,3.39,9.4,0
Chennai Super Kings,Mumbai Indians,Mumbai,118,80,9,158,6.0,8.85,1
Chennai Super Kings,Sunrisers Hyderabad,Sharjah,61,53,9,146,7.61,6.91,1
Mumbai Indians,Royal Challengers Bangalore,Bangalore,135,99,6,143,2.29,8.18,1
Kolkata Knight Riders,Rajasthan Royals,Ahmedabad,49,31,7,171,8.22,9.48,0
Rajasthan Royals,Sunrisers Hyderabad,Jaipur,91,66,10,170,8.78,8.27,1
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,66,75,9,127,8.13,5.28,1
Kings XI Punjab,Mumbai Indians,Mohali,131,74,9,188,7.43,10.62,1
Mumbai Indians,Sunrisers Hyderabad,Visakhapatnam,109,43,2,178,5.38,15.21,0
Chennai Super Kings,Delhi Capitals,Chennai,106,109,10,115,4.91,5.83,1
Delhi Capitals,Royal Challengers Bangalore,Delhi,65,34,6,184,8.3,11.47,0
Kolkata Knight Riders,Kings XI Punjab,Bangalore,135,81,8,200,10.0,10.0,1
Delhi Capitals,Rajasthan Royals,Delhi,20,42,9,130,8.46,2.86,0
Chennai Super Kings,Sunrisers Hyderabad,Mumbai,171,99,10,187,4.57,10.36,1
Kolkata Knight Riders,Mumbai Indians,Mumbai,63,33,6,188,8.62,11.45,0
Royal Challengers Bangalore,Mumbai Indians,Johannesburg,149,117,10,150,2.0,7.64,1
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,116,114,10,127,11.0,6.11,0
Kings XI Punjab,Rajasthan Royals,Pune,107,76,7,163,7.64,8.45,0
Rajasthan Royals,Kings XI Punjab,Jaipur,36,52,9,154,10.41,4.15,1
Chennai Super Kings,Kolkata Knight Riders,Kolkata,34,23,7,159,7.73,8.87,1
Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,121,91,9,184,13.03,7.98,1
Rajasthan Royals,Mumbai Indians,Mumbai,99,48,7,198,8.25,12.38,0
Delhi Capitals,Kolkata Knight Riders,Kolkata,132,117,9,134,4.0,6.77,0
Royal Challengers Bangalore,Mumbai Indians,Mumbai,157,65,8,231,8.07,14.49,0
Delhi Capitals,Sunrisers Hyderabad,Hyderabad,21,19,5,176,9.21,6.63,0
Kings XI Punjab,Royal Challengers Bangalore,Durban,82,64,10,146,6.86,7.69,0
Chennai Super Kings,Mumbai Indians,Mumbai,64,45,6,165,8.08,8.53,0
Mumbai Indians,Royal Challengers Bangalore,Bangalore,97,69,9,152,6.47,8.43,1
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,27,25,5,183,9.85,6.48,1
Rajasthan Royals,Kings XI Punjab,Chandigarh,99,77,9,146,6.56,7.71,1
Sunrisers Hyderabad,Chennai Super Kings,Chennai,76,22,6,210,8.2,20.73,0
Kings XI Punjab,Delhi Capitals,Chandigarh,4,11,4,159,8.53,2.18,1
Kolkata Knight Riders,Kings XI Punjab,Kolkata,156,104,10,175,7.12,9.0,1
Chennai Super Kings,Mumbai Indians,Chennai,78,39,5,149,5.26,12.0,0
Rajasthan Royals,Kolkata Knight Riders,Kolkata,73,36,5,186,8.07,12.17,1
Mumbai Indians,Kings XI Punjab,Mumbai,34,24,7,190,9.75,8.5,0
Mumbai Indians,Rajasthan Royals,Mumbai,91,100,10,104,3.9,5.46,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Centurion,86,58,9,171,8.23,8.9,0
Delhi Capitals,Mumbai Indians,Delhi,192,106,10,219,11.57,10.87,0
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,53,49,10,166,9.55,6.49,1
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,5,14,7,139,7.58,2.14,1
Mumbai Indians,Sunrisers Hyderabad,Mumbai,44,12,1,131,4.83,22.0,0
Delhi Capitals,Kolkata Knight Riders,Kolkata,55,44,4,134,6.24,7.5,0
Delhi Capitals,Sunrisers Hyderabad,Visakhapatnam,122,89,10,172,9.68,8.22,1
Rajasthan Royals,Chennai Super Kings,Jaipur,48,18,6,189,8.29,16.0,1
Kolkata Knight Riders,Delhi Capitals,Delhi,79,38,5,187,7.9,12.47,0
Chennai Super Kings,Mumbai Indians,Kolkata,64,28,2,149,5.54,13.71,0
Chennai Super Kings,Mumbai Indians,Chennai,110,80,8,149,5.85,8.25,0
Kolkata Knight Riders,Chennai Super Kings,Centurion,42,21,7,189,8.91,12.0,1
Delhi Capitals,Chennai Super Kings,Chennai,58,55,10,170,10.34,6.33,0
Chennai Super Kings,Mumbai Indians,Mumbai,55,34,6,165,7.67,9.71,0
Chennai Super Kings,Mumbai Indians,Mumbai,80,59,8,165,8.36,8.14,0
Royal Challengers Bangalore,Mumbai Indians,Bengaluru,117,61,8,198,8.24,11.51,0
Rajasthan Royals,Royal Challengers Bangalore,Cape Town,120,83,8,134,2.27,8.67,0
Chennai Super Kings,Delhi Capitals,Delhi,99,70,9,188,10.68,8.49,1
Kolkata Knight Riders,Kings XI Punjab,Kolkata,123,77,9,184,8.51,9.58,1
Kolkata Knight Riders,Rajasthan Royals,Abu Dhabi,5,2,2,153,7.53,15.0,0
Chennai Super Kings,Royal Challengers Bangalore,Chennai,100,58,8,166,6.39,10.34,1
Mumbai Indians,Chennai Super Kings,Chennai,5,6,6,159,8.11,5.0,1
Mumbai Indians,Kolkata Knight Riders,Bangalore,90,107,9,108,8.31,5.05,1
Mumbai Indians,Kings XI Punjab,Indore,183,111,10,199,10.67,9.89,1
Kolkata Knight Riders,Rajasthan Royals,Ahmedabad,76,38,8,169,6.8,12.0,0
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,28,6,3,172,7.58,28.0,0
Mumbai Indians,Kolkata Knight Riders,Kolkata,100,57,8,188,8.38,10.53,1
Delhi Capitals,Mumbai Indians,Mumbai,191,100,8,210,5.7,11.46,0
Mumbai Indians,Kings XI Punjab,Indore,136,74,9,185,6.39,11.03,1
Rajasthan Royals,Kolkata Knight Riders,Kolkata,20,9,4,186,8.97,13.33,1
Chennai Super Kings,Mumbai Indians,Mumbai,100,54,6,188,8.0,11.11,0
Royal Challengers Bangalore,Rajasthan Royals,Ahmedabad,66,73,9,131,8.3,5.42,1
Royal Challengers Bangalore,Mumbai Indians,Mumbai,126,85,9,166,6.86,8.89,1
Chennai Super Kings,Sunrisers Hyderabad,Chennai,142,107,10,160,8.31,7.96,1
Kolkata Knight Riders,Mumbai Indians,Mumbai,154,105,9,171,6.8,8.8,0
Chennai Super Kings,Royal Challengers Bangalore,Chennai,2,17,7,75,4.25,0.71,1
Kolkata Knight Riders,Kings XI Punjab,Pune,1,14,4,156,8.77,0.43,1
Chennai Super Kings,Royal Challengers Bangalore,Chennai,149,109,10,162,7.09,8.2,1
Royal Challengers Bangalore,Delhi Capitals,Bangalore,95,75,8,153,7.73,7.6,1
Delhi Capitals,Rajasthan Royals,Mumbai,169,87,7,193,4.36,11.66,0
Delhi Capitals,Sunrisers Hyderabad,Visakhapatnam,72,45,8,172,8.0,9.6,1
Rajasthan Royals,Chennai Super Kings,Jaipur,110,114,10,110,0.0,5.79,1
Mumbai Indians,Kolkata Knight Riders,Kolkata,28,21,7,188,9.7,8.0,1
Rajasthan Royals,Sunrisers Hyderabad,Port Elizabeth,122,90,7,142,4.0,8.13,1
Rajasthan Royals,Delhi Capitals,Delhi,26,19,9,153,7.54,8.21,0
Rajasthan Royals,Chennai Super Kings,Jaipur,2,36,8,110,7.71,0.33,1
Chennai Super Kings,Rajasthan Royals,Jaipur,52,32,6,127,5.11,9.75,1
Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,112,81,9,184,11.08,8.3,1
Royal Challengers Bangalore,Mumbai Indians,Mumbai,187,119,10,188,6.0,9.43,0
Rajasthan Royals,Royal Challengers Bangalore,Jaipur,-1,5,7,165,8.66,-1.2,1
Chennai Super Kings,Sunrisers Hyderabad,Chennai,133,69,6,191,6.82,11.57,0
Chennai Super Kings,Kolkata Knight Riders,Kolkata,49,25,5,171,7.71,11.76,1
Rajasthan Royals,Royal Challengers Bangalore,Jaipur,59,49,9,165,8.96,7.22,1
Chennai Super Kings,Sunrisers Hyderabad,Chennai,29,27,8,180,9.74,6.44,1
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,7,10,5,204,10.75,4.2,1
Kings XI Punjab,Kolkata Knight Riders,Chandigarh,132,77,8,184,7.26,10.29,0
Chennai Super Kings,Mumbai Indians,Port Elizabeth,-3,4,7,148,7.81,-4.5,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,134,72,8,208,9.25,11.17,0
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,17,22,8,136,7.29,4.64,1
Kings XI Punjab,Delhi Capitals,Delhi,78,25,4,189,7.01,18.72,0
Sunrisers Hyderabad,Delhi Capitals,Hyderabad,36,23,8,167,8.1,9.39,1
Kolkata Knight Riders,Sunrisers Hyderabad,Visakhapatnam,154,105,10,177,9.2,8.8,0
Rajasthan Royals,Kings XI Punjab,Jaipur,-1,11,6,167,9.25,-0.55,1
Kolkata Knight Riders,Delhi Capitals,Delhi,112,87,10,161,8.91,7.72,1
Mumbai Indians,Kolkata Knight Riders,Mumbai,15,90,8,68,10.6,1.0,1
Rajasthan Royals,Sunrisers Hyderabad,Jaipur,119,86,9,145,4.59,8.3,1
Chennai Super Kings,Kings XI Punjab,Chandigarh,108,89,10,139,6.0,7.28,1
Rajasthan Royals,Sunrisers Hyderabad,Jaipur,79,53,9,170,8.15,8.94,1
Mumbai Indians,Kolkata Knight Riders,Kolkata,148,54,6,242,8.55,16.44,0
Delhi Capitals,Chennai Super Kings,Chennai,97,98,7,113,4.36,5.94,0
Mumbai Indians,Sunrisers Hyderabad,Visakhapatnam,131,105,9,139,3.2,7.49,1
Delhi Capitals,Chennai Super Kings,Delhi,108,57,5,170,5.9,11.37,0
Rajasthan Royals,Mumbai Indians,Mumbai,170,92,8,198,6.0,11.09,0
Mumbai Indians,Kings XI Punjab,Mumbai,164,118,10,164,0.0,8.34,1
Delhi Capitals,Kolkata Knight Riders,Kolkata,103,64,7,207,11.14,9.66,0
Mumbai Indians,Kolkata Knight Riders,Mumbai,106,92,10,156,10.71,6.91,1
Kolkata Knight Riders,Rajasthan Royals,Mumbai,157,90,8,200,8.6,10.47,0
Mumbai Indians,Kolkata Knight Riders,Kolkata,80,45,6,176,7.68,10.67,1
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,91,47,6,170,6.49,11.62,0
Chennai Super Kings,Kolkata Knight Riders,Chennai,156,98,10,208,14.18,9.55,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,66,51,10,161,8.26,7.76,1
Rajasthan Royals,Kolkata Knight Riders,Kolkata,36,18,4,186,8.82,12.0,1
Chennai Super Kings,Royal Challengers Bangalore,Bangalore,95,105,8,107,4.8,5.43,0
Delhi Capitals,Rajasthan Royals,Ahmedabad,131,52,5,202,6.26,15.12,0
Chennai Super Kings,Kings XI Punjab,Mohali,109,63,7,199,9.47,10.38,0
Kolkata Knight Riders,Kings XI Punjab,Chandigarh,52,31,7,168,7.82,10.06,0
Delhi Capitals,Kolkata Knight Riders,Kolkata,91,60,9,182,9.1,9.1,0
Chennai Super Kings,Sunrisers Hyderabad,Chennai,48,32,7,160,7.64,9.0,1
Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,68,50,9,184,9.94,8.16,1
Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,104,68,8,171,7.73,9.18,0
Kolkata Knight Riders,Mumbai Indians,Kolkata,175,105,8,183,3.2,10.0,0
Rajasthan Royals,Sunrisers Hyderabad,Ahmedabad,36,5,1,135,5.17,43.2,0
Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,114,85,9,151,6.34,8.05,0
Chennai Super Kings,Mumbai Indians,Port Elizabeth,118,93,8,148,6.67,7.61,1
Sunrisers Hyderabad,Kings XI Punjab,Mohali,95,38,7,202,7.83,15.0,0
Mumbai Indians,Kolkata Knight Riders,Mumbai,49,29,6,175,8.31,10.14,1
Kolkata Knight Riders,Chennai Super Kings,Chennai,55,37,9,191,9.83,8.92,1
Sunrisers Hyderabad,Kings XI Punjab,Dharamsala,14,9,5,175,8.7,9.33,0
Kings XI Punjab,Royal Challengers Bangalore,Durban,125,95,10,146,5.04,7.89,0
Kings XI Punjab,Rajasthan Royals,Jaipur,138,93,8,162,5.33,8.9,0
Kolkata Knight Riders,Rajasthan Royals,Cape Town,17,13,5,151,7.51,7.85,0
Chennai Super Kings,Kolkata Knight Riders,Kolkata,120,94,10,159,9.0,7.66,1
Chennai Super Kings,Kings XI Punjab,Chandigarh,103,85,10,139,6.17,7.27,1
Delhi Capitals,Chennai Super Kings,Raipur,32,46,8,120,7.14,4.17,0
Delhi Capitals,Chennai Super Kings,Chennai,115,64,8,177,6.64,10.78,0
Chennai Super Kings,Royal Challengers Bangalore,Bangalore,8,17,8,155,8.56,2.82,1
Royal Challengers Bangalore,Mumbai Indians,Mumbai,91,63,8,166,7.89,8.67,1
Chennai Super Kings,Mumbai Indians,Kolkata,78,39,2,149,5.26,12.0,0
Sunrisers Hyderabad,Delhi Capitals,Delhi,90,91,9,115,5.17,5.93,1
Sunrisers Hyderabad,Chennai Super Kings,Hyderabad,119,108,10,140,10.5,6.61,1
Kolkata Knight Riders,Rajasthan Royals,Jaipur,62,25,5,197,8.53,14.88,0
Delhi Capitals,Kings XI Punjab,Dharamsala,43,10,3,171,6.98,25.8,0
Delhi Capitals,Chennai Super Kings,Chennai,111,116,9,113,3.0,5.74,0
Sunrisers Hyderabad,Delhi Capitals,Delhi,83,48,7,195,9.33,10.38,0
Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,89,47,6,151,5.1,11.36,0
Mumbai Indians,Royal Challengers Bangalore,Mumbai,110,82,10,180,11.05,8.05,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,123,90,10,162,7.8,8.2,1
Kolkata Knight Riders,Chennai Super Kings,Kolkata,81,49,7,166,7.18,9.92,1
Chennai Super Kings,Mumbai Indians,Kolkata,45,9,1,149,5.62,30.0,0
Delhi Capitals,Kolkata Knight Riders,Kolkata,29,16,2,134,6.06,10.88,0
Delhi Capitals,Mumbai Indians,Visakhapatnam,188,106,9,207,8.14,10.64,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,78,21,4,228,9.09,22.29,0
Delhi Capitals,Chennai Super Kings,Chennai,31,34,9,170,9.7,5.47,0
Chennai Super Kings,Mumbai Indians,Kolkata,158,74,9,203,5.87,12.81,0
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,106,117,10,111,10.0,5.44,1
Mumbai Indians,Royal Challengers Bangalore,Mumbai,68,50,7,180,9.6,8.16,1
Royal Challengers Bangalore,Mumbai Indians,Bangalore,65,6,2,192,6.68,65.0,0
Delhi Capitals,Chennai Super Kings,Raipur,98,99,9,120,6.29,5.94,0
Rajasthan Royals,Royal Challengers Bangalore,Bangalore,95,85,8,136,7.03,6.71,1
Mumbai Indians,Delhi Capitals,Delhi,104,58,5,187,8.03,10.76,0
Chennai Super Kings,Delhi Capitals,Delhi,97,51,9,179,7.13,11.41,1
Royal Challengers Bangalore,Kolkata Knight Riders,Durban,33,22,6,140,6.55,9.0,1
Sunrisers Hyderabad,Mumbai Indians,Mumbai,82,53,7,171,7.97,9.28,0
Kolkata Knight Riders,Chennai Super Kings,Centurion,98,54,9,189,8.27,10.89,1
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,130,73,9,190,7.66,10.68,1
Delhi Capitals,Sunrisers Hyderabad,Delhi,95,61,7,169,7.53,9.34,0
Kings XI Punjab,Royal Challengers Bangalore,Bengaluru,27,5,5,214,9.76,32.4,0
Kings XI Punjab,Delhi Capitals,Chandigarh,125,96,8,159,8.5,7.81,1
Rajasthan Royals,Sunrisers Hyderabad,Abu Dhabi,97,77,7,134,5.16,7.56,1
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,146,92,8,164,3.86,9.52,0
Royal Challengers Bangalore,Kolkata Knight Riders,Sharjah,83,70,8,151,8.16,7.11,0
Kolkata Knight Riders,Rajasthan Royals,Kolkata,38,61,8,82,4.47,3.74,1
Kings XI Punjab,Mumbai Indians,Mumbai,52,25,3,175,7.77,12.48,0
